"Date","Team 1","Team 2","Time","Shooting Team","Result","Type","xG","xGOT","Shooter","Passer","T1LW","T1C","T1RW","T1LD","T1RD","T1G","T1X","T2LW","T2C","T2RW","T2LD","T2RD","T2G","T2X","PP","SH","Distance","Angle","Player Team 1","Player Team 2"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","0","Kloten-Dietlikon Jets","Saved","Direct","0.14","0.26","#20 Schumacher","#97 Schellenberg","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.24","90.56","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","0","Fribourg","Possession -","Direct","0.00","0.00","","","#5 Nussbaumer","#26 Laurino","#13 Krebs","#6 Ulrich","#12 Foelix","#66 Kern","","","","","","","","","0","0","27.95","101.98","",""
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","0","Fribourg","Missed","Direct","0.08","0.00","","","#5 Nussbaumer","#26 Laurino","#13 Krebs","#6 Ulrich","#12 Foelix","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","7.25","30.30","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","0","Kloten-Dietlikon Jets","Saved","One-timer","0.24","0.46","#8 Burri","#7 Siegfried","#7 Siegfried","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.75","30.41","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","0","Kloten-Dietlikon Jets","Missed","One-timer","0.32","0.00","#23 Rieder","#27 Griezitis","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","2.88","29.05","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","0","Kloten-Dietlikon Jets","Saved","One-timer","0.20","0.38","#27 Griezitis","#88 Hüppi","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","12.80","71.34","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","0","Kloten-Dietlikon Jets","Saved","Rebound","0.33","0.55","#23 Rieder","","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","1.63","64.65","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","47","Kloten-Dietlikon Jets","Saved","One-timer","0.20","0.38","#26 Laurino","#6 Ulrich","#5 Nussbaumer","#26 Laurino","#13 Krebs","#6 Ulrich","#12 Foelix","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","9.81","120.58","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","55","Kloten-Dietlikon Jets","Saved","Rebound","0.19","0.35","#5 Nussbaumer","#26 Laurino","#5 Nussbaumer","#26 Laurino","#13 Krebs","#6 Ulrich","#12 Foelix","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.19","126.33","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","130","Kloten-Dietlikon Jets","Saved","Turnover | Direct","0.20","0.37","#59 Behringer","","#7 Siegfried","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","6.92","77.40","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","144","Fribourg","Missed","Turnover | Direct","0.20","0.00","","","#7 Siegfried","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","6.75","96.12","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","381","Kloten-Dietlikon Jets","Missed","Turnover | Direct","0.17","0.00","#20 Schumacher","#27 Griezitis","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","11.21","98.59","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","387","Fribourg","Blocked","Turnover | Direct","0.12","0.00","","","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","10.63","125.73","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","433","Kloten-Dietlikon Jets","Blocked","Turnover | One-timer","0.24","0.00","#13 Krebs","","#5 Nussbaumer","#26 Laurino","#13 Krebs","#6 Ulrich","#12 Foelix","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","6.03","40.60","0","0"
"2025-09-13","Kloten-Dietlikon Jets","Fribourg","468","Kloten-Dietlikon Jets","Saved","One-timer","0.12","0.24","#8 Burri","#54 Caviezel","#7 Siegfried","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#66 Kern","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.79","22.55","0","0"
