"Date","Team 1","Team 2","Time","Shooting Team","Result","Type","xG","xGOT","Shooter","Passer","T1LW","T1C","T1RW","T1LD","T1RD","T1G","T1X","T2LW","T2C","T2RW","T2LD","T2RD","T2G","T2X","PP","SH","Distance","Angle","Player Team 1","Player Team 2"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","57","Kloten-Dietlikon Jets","Saved","Turnover | Direct","0.12","0.23","#88 Hüppi","","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","9.53","120.49","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","77","Floorball Uri","Blocked","Direct","0.12","0.00","","","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","9.50","111.27","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","96","Kloten-Dietlikon Jets","Saved","Turnover | Direct","0.12","0.22","#16 Kauppinen","#8 Burri","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","10.10","60.31","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","117","Kloten-Dietlikon Jets","Missed","Turnover | One-timer","0.24","0.00","#17 Fontana","#59 Behringer","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","5.17","35.45","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","168","Kloten-Dietlikon Jets","Blocked","Direct","0.07","0.00","#5 Nussbaumer","#6 Ulrich","#5 Nussbaumer","#26 Laurino","#13 Krebs","#6 Ulrich","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","11.25","124.55","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","173","Kloten-Dietlikon Jets","Missed","Direct","0.10","0.00","#23 Rieder","#88 Hüppi","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","9.20","111.98","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","206","Floorball Uri","Blocked","One-timer","0.32","0.00","","","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.09","92.83","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","239","Floorball Uri","Missed","Turnover | Direct","0.12","0.00","","","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.61","56.17","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","302","Kloten-Dietlikon Jets","Blocked","Turnover | One-timer","0.32","0.00","#16 Kauppinen","#8 Burri","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.45","74.79","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","322","Kloten-Dietlikon Jets","Saved","Direct","0.08","0.14","#8 Burri","#54 Caviezel","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","10.30","42.99","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","325","Kloten-Dietlikon Jets","Goal","One-timer","0.20","0.36","#16 Kauppinen","#8 Burri","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","6.88","137.15","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","329","Floorball Uri","Goal","Turnover | One-timer","0.34","0.62","","","#5 Nussbaumer","#26 Laurino","#13 Krebs","#6 Ulrich","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","6.49","122.01","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","349","Kloten-Dietlikon Jets","Blocked","One-timer","0.18","0.00","#97 Schellenberg","#88 Hüppi","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.37","39.05","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","371","Kloten-Dietlikon Jets","Blocked","Direct","0.06","0.00","#20 Schumacher","","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.21","152.13","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","378","Kloten-Dietlikon Jets","Blocked","Direct","0.07","0.00","#23 Rieder","#20 Schumacher","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","9.78","35.20","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","420","Kloten-Dietlikon Jets","Saved","One-timer","0.32","0.60","#20 Schumacher","#27 Griezitis","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.24","90.00","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","420","Floorball Uri","Saved","Direct","0.14","0.27","","","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.71","122.38","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","488","Kloten-Dietlikon Jets","Blocked","Direct","0.07","0.00","#12 Foelix","","#5 Nussbaumer","#26 Laurino","#13 Krebs","#6 Ulrich","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","11.80","124.51","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","492","Kloten-Dietlikon Jets","Blocked","Direct","0.07","0.00","#16 Kauppinen","#59 Behringer","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","12.11","130.75","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","493","Kloten-Dietlikon Jets","Goal","One-timer","0.34","0.62","#59 Behringer","#8 Burri","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","6.25","109.12","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","521","Floorball Uri","Blocked","Direct","0.07","0.00","","","#5 Nussbaumer","#26 Laurino","#13 Krebs","#6 Ulrich","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","12.26","66.37","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","534","Kloten-Dietlikon Jets","Goal","Turnover | One-timer","0.28","0.52","#26 Laurino","#5 Nussbaumer","#5 Nussbaumer","#26 Laurino","#13 Krebs","#6 Ulrich","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","4.43","41.01","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","577","Kloten-Dietlikon Jets","Saved","Direct","0.09","0.16","#27 Griezitis","#88 Hüppi","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","14.24","89.36","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","640","Floorball Uri","Blocked","One-timer","0.16","0.00","","","#23 Rieder","#20 Schumacher","#88 Hüppi","#27 Griezitis","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","14.79","108.63","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","678","Floorball Uri","Blocked","Direct","0.05","0.00","","","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","15.69","122.68","0","0"
